BAC Entries:
0 > 2696
1 > 2697
2 > 2698
3 > 2699
4 > 2700
5 > 2701
6 > 2702
7 > 2703
8 > 2704
9 > 2705
14 > 2706
16 > 2707
18 > 2708
20 > 2709
21 > 2710
23 > 2711
24 > 2712
25 > 2713
26 > 2714
28 > 2715
30 > 2716
31 > 2717
33 > 2718
35 > 2719
36 > 2720
38 > 2721
44 > 2722
45 > 2723
46 > 2724
47 > 2725
48 > 2726
49 > 2727
50 > 2728
51 > 2729
52 > 2730
54 > 2731
55 > 2732
56 > 2733
57 > 2734
58 > 2735
59 > 2736
60 > 2737
61 > 2738
62 > 2739
63 > 2740
64 > 2741
65 > 2742
66 > 2743
67 > 2744
68 > 2745
69 > 2746
70 > 2747
71 > 2748
72 > 2749
73 > 2750
190 > 2751
191 > 2752
210 > 2753
224 > 2754
225 > 2755
300 > 2756
301 > 2757
302 > 2758
303 > 2759
304 > 2760
310 > 2761
311 > 2762
312 > 2763
320 > 2764
321 > 2765
322 > 2766
325 > 2767
330 > 2768
331 > 2769
332 > 2770
335 > 2771
336 > 2772
337 > 2773
338 > 2774
340 > 2775
341 > 2776
342 > 2777
343 > 2778
347 > 2779
350 > 2780
351 > 2781
352 > 2782
360 > 2783
361 > 2784
362 > 2785
365 > 2786
366 > 2787
367 > 2788
370 > 2789
372 > 2790
373 > 2791
375 > 2792
376 > 2793
377 > 2794
378 > 2795
410 > 2796
411 > 2797
415 > 2798
419 > 2799
420 > 2800
425 > 2801
426 > 2802
427 > 2803
430 > 2804
435 > 2805
440 > 2806
441 > 2807
445 > 2808
446 > 2809
460 > 2810
461 > 2811
462 > 2812
463 > 2813
480 > 2814
496 > 2815
497 > 2816
498 > 2817
499 > 2818
520 > 2819
521 > 2820
522 > 2821
523 > 2822
524 > 2823
525 > 2824
526 > 2825
527 > 2826
528 > 2827
529 > 2828
594 > 2829
600 > 2830
601 > 2831
602 > 2832
603 > 2833
604 > 2834
620 > 2835
621 > 2836
622 > 2837
630 > 2838
631 > 2839
632 > 2840
721 > 2841
722 > 2842
726 > 2843

BDM Entries:
1450 > 2900
1451 > 2901
1452 > 2902
1453 > 2903
1454 > 2904
1455 > 2905
1456 > 2906
1457 > 2907
1458 > 2908
1459 > 2909
1460 > 2910
1467 > 2917
1481 > 2931
1510 > 2960
1529 > 2979
1592 > 3042
